Accession,Title,Collection,Organism,Imaging Method,Keywords,Files,License,Publication Title,Publication DOI,Authors,Release Date,BIA Link
EMPIAR-13357,Medium-resolution cryo-EM structure of the Danio rerio tRNA ligase complex,EMPIAR,,,,0,,Structural and biochemical characterization of the 3'-5' tRNA splicing ligases,,"Chamera S, Zajko W, Czarnocki-Cieciura M, Jaciuk M, Koziej Ł, Nowak J, Wycisk K, Sroka M, Chramiec-Głąbik A, Śmietański M, Gołębiowski F, Warmiński M, Jemielity J, Glatt S, Nowotny M",2026-03-16,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-13357
EMPIAR-13358,Cryo-EM structure of the Danio rerio tRNA ligase complex,EMPIAR,,,,0,,Structural and biochemical characterization of the 3'-5' tRNA splicing ligases,,"Chamera S, Zajko W, Czarnocki-Cieciura M, Jaciuk M, Koziej Ł, Nowak J, Wycisk K, Sroka M, Chramiec-Głąbik A, Śmietański M, Gołębiowski F, Warmiński M, Jemielity J, Glatt S, Nowotny M",2026-03-16,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-13358
EMPIAR-13356,Multiscale human liver tissue sample volume electron microscopy,EMPIAR,,,,0,,Multiscale human liver tissue sample volume electron microscopy,,Xing CX,2026-03-16,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-13356
EMPIAR-13202,CRYO ARM 200 II mouse heavy chain apoferritin at 1.24 A,EMPIAR,,,,0,,Atomic resolution cryo-EM at 200 keV,,"Danev R, Yanagisawa H, Yamashita K, Eisenstein F, Kikkawa M",2026-03-16,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-13202
S-BIAD3027,AAV vectors have limited impact on host chromatin accessibility and nuclear architecture,BioImage Archive,Homo sapiens (human),molecular devices MD,"AAV2, ATAC-seq, Genome Accessibility, RNA Pol II, Nuclear Condensates",95664,CC BY 4.0,AAV vectors have limited impact on host chromatin accessibility and nuclear architecture,,"Joël Zöllig, Maija Pietilä, Melina Bräuer, Kurt Tobler, Cornel Fraefel",2026-03-16,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD3027
EMPIAR-13244,"Cryo-electron tomography of in vitro assembled, GMPCPP-bound, porcine brain microtubules.",EMPIAR,,,,0,,Microtubules in the axon are GDP-bound but adopt a stable GTP-like expanded state.,,"Zehr EA, Sun S, Sarbanes SL, Roll-Mecak A",2026-03-13,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-13244
EMPIAR-13242,"Cryo-electron tomography of in vitro assembled, GDP-bound, porcine brain microtubules.",EMPIAR,,,,0,,Microtubules in the axon are GDP-bound but adopt a stable GTP-like expanded state.,,"Zehr EA, Sun S, Sarbanes SL, Roll-Mecak A",2026-03-13,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-13242
EMPIAR-13240,Cryo-electron tomography of microtubules in undifferentiated induced pluripotent stem cells (iPSCs),EMPIAR,,,,0,,Microtubules in the axon are GDP-bound but adopt a stable GTP-like expanded state.,,"Zehr EA, Sun S, Sarbanes SL, Roll-Mecak A",2026-03-13,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-13240
EMPIAR-13239,Cryo-electron tomography of microtubules in axons from human cortical neurons derived from induced pluripotent stem cells (iPSCs).,EMPIAR,,,,0,,Microtubules in the axon are GDP-bound but adopt a stable GTP-like expanded state.,,"Zehr EA, Sun S, Sarbanes SL, Roll-Mecak A",2026-03-13,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-13239
EMPIAR-13241,"Cryo-electron tomography of in vitro assembled, GDP-bound, porcine brain microtubules.",EMPIAR,,,,0,,Microtubules in the axon are GDP-bound but adopt a stable GTP-like expanded state.,,"Zehr EA, Sun S, Sarbanes SL, Roll-Mecak A",2026-03-13,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-13241
EMPIAR-13289,cryo electron tomography of mouse hippocampal CA1 stratum radiatum - dataset 1,EMPIAR,,,,0,,A generalizable and targeted molecular biopsy approach for in situ cryogenic electron tomography of vitreous brain tissue,,"Glynn C, Smith JLR, Case M, Csöndör R, Katsini A, Sanita ME, Glen TS, Pennington A, Grange M",2026-03-13,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-13289
EMPIAR-13281,cryo electron tomography of mouse hippocampal CA1 stratum radiatum - dataset 2,EMPIAR,,,,0,,A generalizable and targeted molecular biopsy approach for in situ cryogenic electron tomography of vitreous brain tissue,,"Glynn C, Smith JLR, Case M, Csöndör R, Katsini A, Sanita ME, Glen TS, Pennington A, Grange M",2026-03-13,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-13281
S-BIAD3056,Cell Imaging files for the manuscript: Molecular anatomy of PLK1 master docking motifs ,BioImage Archive,Homo sapiens (human),fluorescence microscopy,"PLK1, Kinetochore, Immunofluorescence, HeLa",4058,CC0,Molecular anatomy of PLK1 docking motifs,,"Long Ren, Arianna Esposito Verza, Raphael Gasper, Marion E. Pesenti, Petra Janning, Franziska Müller, Carolin Koerner, Petra Geue, Sabine Wohlgemuth, Ingrid R. Vetter & Andrea Musacchio",2026-03-13,https://www.ebi.ac.uk/bioimage-archive/galleries/S-BIAD3056
EMPIAR-13287,cryo electron tomography of mouse hippocampal CA1 stratum radiatum - dataset 3,EMPIAR,,,,0,,A generalizable and targeted molecular biopsy approach for in situ cryogenic electron tomography of vitreous brain tissue,,"Glynn C, Smith JLR, Case M, Csöndör R, Katsini A, Sanita ME, Glen TS, Pennington A, Grange M",2026-03-12,https://www.ebi.ac.uk/bioimage-archive/galleries/EMPIAR-13287
